"id","state_lgd","state_name","created_at","updated_at"
"1","1","Jammu And Kashmir","2025-11-11 14:51:04","2025-11-11 14:51:04"
"2","2","Himachal Pradesh","2025-11-11 14:51:04","2025-11-11 14:51:04"
"3","3","Punjab","2025-11-11 14:51:04","2025-11-11 14:51:04"
"4","4","Chandigarh","2025-11-11 14:51:04","2025-11-11 14:51:04"
"5","5","Uttarakhand","2025-11-11 14:51:04","2025-11-11 14:51:04"
"6","6","Haryana","2025-11-11 14:51:04","2025-11-11 14:51:04"
"7","7","Delhi","2025-11-11 14:51:04","2025-11-11 14:51:04"
"8","8","Rajasthan","2025-11-11 14:51:04","2025-11-11 14:51:04"
"9","9","Uttar Pradesh","2025-11-11 14:51:04","2025-11-11 14:51:04"
"10","10","Bihar","2025-11-11 14:51:04","2025-11-11 14:51:04"
"11","11","Sikkim","2025-11-11 14:51:04","2025-11-11 14:51:04"
"12","12","Arunachal Pradesh","2025-11-11 14:51:04","2025-11-11 14:51:04"
"13","13","Nagaland","2025-11-11 14:51:04","2025-11-11 14:51:04"
"14","14","Manipur","2025-11-11 14:51:04","2025-11-11 14:51:04"
"15","15","Mizoram","2025-11-11 14:51:04","2025-11-11 14:51:04"
"16","16","Tripura","2025-11-11 14:51:04","2025-11-11 14:51:04"
"17","17","Meghalaya","2025-11-11 14:51:04","2025-11-11 14:51:04"
"18","18","Assam","2025-11-11 14:51:04","2025-11-11 14:51:04"
"19","19","West Bengal","2025-11-11 14:51:04","2025-11-11 14:51:04"
"20","20","Jharkhand","2025-11-11 14:51:04","2025-11-11 14:51:04"
"21","21","Odisha","2025-11-11 14:51:04","2025-11-11 14:51:04"
"22","22","Chhattisgarh","2025-11-11 14:51:04","2025-11-11 14:51:04"
"23","23","Madhya Pradesh","2025-11-11 14:51:04","2025-11-11 14:51:04"
"24","24","Gujarat","2025-11-11 14:51:04","2025-11-11 14:51:04"
"25","27","Maharashtra","2025-11-11 14:51:04","2025-11-11 14:51:04"
"26","28","Andhra Pradesh","2025-11-11 14:51:04","2025-11-11 14:51:04"
"27","29","Karnataka","2025-11-11 14:51:04","2025-11-11 14:51:04"
"28","30","Goa","2025-11-11 14:51:04","2025-11-11 14:51:04"
"29","31","Lakshadweep","2025-11-11 14:51:04","2025-11-11 14:51:04"
"30","32","Kerala","2025-11-11 14:51:04","2025-11-11 14:51:04"
"31","33","Tamil Nadu","2025-11-11 14:51:04","2025-11-11 14:51:04"
"32","34","Puducherry","2025-11-11 14:51:04","2025-11-11 14:51:04"
"33","35","Andaman And Nicobar Islands","2025-11-11 14:51:04","2025-11-11 14:51:04"
"34","36","Telangana","2025-11-11 14:51:04","2025-11-11 14:51:04"
"35","37","Ladakh","2025-11-11 14:51:04","2025-11-11 14:51:04"
"36","38","The Dadra And Nagar Haveli And Daman And Diu","2025-11-11 14:51:04","2025-11-11 14:51:04"
"37","99","Training State","2026-04-07 12:17:51",\N
